slug	cts_urn	tlg
anacreontea.anacreontea	urn:cts:greekLit:tlg4150.tlg001	tlg4150.tlg001
ananius.fragmenta	urn:cts:greekLit:tlg0238.tlg001	tlg0238.tlg001
anaxagoras.testimonia	urn:cts:greekLit:tlg0713.tlg001	tlg0713.tlg001
anaxandrides.fragmenta	urn:cts:greekLit:tlg0405.tlg001	tlg0405.tlg001
anaxarchus.testimonia	urn:cts:greekLit:tlg0714.tlg001	tlg0714.tlg001
anaxicrates.fragmenta	urn:cts:greekLit:tlg2210.tlg002	tlg2210.tlg002
anaxilas.fragmenta	urn:cts:greekLit:tlg0406.tlg001	tlg0406.tlg001
anaximander.fragmenta	urn:cts:greekLit:tlg0725.tlg002	tlg0725.tlg002
anaximander.testimonia	urn:cts:greekLit:tlg0725.tlg001	tlg0725.tlg001
anaximenes-philosophy.testimonia	urn:cts:greekLit:tlg0617.tlg001	tlg0617.tlg001
anaximenis-milesii-epistulae.epistulae	urn:cts:greekLit:tlg1121.tlg001	tlg1121.tlg001
anaxippus.fragmenta	urn:cts:greekLit:tlg0407.tlg001	tlg0407.tlg001
andocides.de-mysteriis	urn:cts:greekLit:tlg0027.tlg001	tlg0027.tlg001
andocides.de-pace	urn:cts:greekLit:tlg0027.tlg003	tlg0027.tlg003
andocides.de-reditu-suo	urn:cts:greekLit:tlg0027.tlg002	tlg0027.tlg002
andocides.in-alcibiadem-sp	urn:cts:greekLit:tlg0027.tlg004	tlg0027.tlg004
andreas.fragmentum	urn:cts:greekLit:tlg2393.tlg002	tlg2393.tlg002
andriscus.fragmenta	urn:cts:greekLit:tlg2346.tlg002	tlg2346.tlg002
androetas-tenedius.fragmenta	urn:cts:greekLit:tlg2412.tlg002	tlg2412.tlg002
andron-alexandrinus.fragmenta	urn:cts:greekLit:tlg2172.tlg002	tlg2172.tlg002
andron-ephesius.fragmenta	urn:cts:greekLit:tlg4347.tlg001	tlg4347.tlg001
andron-halicarnassensis.fragmenta	urn:cts:greekLit:tlg1123.tlg002	tlg1123.tlg002
andron-tejus.fragmenta	urn:cts:greekLit:tlg2536.tlg003	tlg2536.tlg003
andronicus-rhodius.de-passionibus-lib-1-sp	urn:cts:greekLit:tlg1124.tlg001	tlg1124.tlg001
androtio.fragmenta	urn:cts:greekLit:tlg1125.tlg003	tlg1125.tlg003
androtion.fragmenta	urn:cts:greekLit:tlg1125.tlg001	tlg1125.tlg001
anna-comnena.alexias	urn:cts:greekLit:tlg2703.tlg001	tlg2703.tlg001
anon-tlg1140.tlg1140-tlg001	urn:cts:greekLit:tlg1140.tlg001	tlg1140.tlg001
anon-tlg4049.tlg4049-tlg001	urn:cts:greekLit:tlg4049.tlg001	tlg4049.tlg001
anonymi-de-barbarismo-et-soloecismo.de-barbarismo-et-soloecismo	urn:cts:greekLit:tlg1129.tlg001	tlg1129.tlg001
anonymi-de-terrae-motibus.de-terrae-motibus	urn:cts:greekLit:tlg2972.tlg001	tlg2972.tlg001
anonymi-exegesis-in-hesiodi-theogoniam.exegesis-in-hesiodi-theogoniam	urn:cts:greekLit:tlg3156.tlg001	tlg3156.tlg001
anonymi-geographia-in-sphaera-intelligenda.anonymi-summaria-ratio-geographiae-in-sphaera-intelligendae	urn:cts:greekLit:tlg2029.tlg001	tlg2029.tlg001
anonymi-geographiae-expositio-compendiaria.geographiae-expositio-compendiaria	urn:cts:greekLit:tlg0092.tlg001	tlg0092.tlg001
